person_id,logged_on,weight_kg,note,is_rest,source
1,2023-09-03,,소식해서 기운이 없음,False,gform
1,2023-09-04,,거의 두 달 가까이 40바퀴 한 적 없음,False,gform
1,2023-09-05,,MSG 때문에 못함,True,gform
1,2023-09-11,,중간에 한 번 쉬었음,False,gform
1,2023-09-12,,MSG 때문에 못함,True,gform
1,2023-09-22,,해커톤 하느라,True,gform
1,2023-09-23,,전기 배선 교체 공사 하느라,True,gform
1,2023-09-25,,피곤해서 패스,True,gform
1,2023-09-27,,20일만에 수영했음,False,gform
1,2023-09-28,,배민,False,gform
1,2023-09-29,,추석연휴,True,gform
1,2023-09-30,,추석연휴,True,gform
1,2023-10-01,,추석 연휴,True,gform
1,2023-10-02,,추석 연휴,True,gform
1,2023-10-07,,동한 결혼식,True,gform
1,2023-10-16,,피곤해,False,gform
1,2023-10-19,,오르막 길,False,gform
1,2023-10-24,,10분 단축,False,gform
1,2023-10-25,,"30분, 한 끼 먹었음",False,gform
1,2023-10-27,,인화원 MSG 출장,True,gform
1,2023-10-28,,리듬 얽힘,True,gform
1,2023-10-31,,당근 영어,False,gform
1,2023-11-04,,,True,gform
1,2023-11-09,,,True,gform
1,2023-11-12,,,True,gform
1,2023-11-25,,,True,gform
1,2023-12-01,,"23.07.21 이후 5개월만의 최고 기록, 하루 전 휴가여서 푹 쉬었음. 몸무게 56.2kg",False,gform
1,2023-12-12,56.0,,False,gform
1,2023-12-14,,게으름,True,gform
1,2023-12-19,55.8,,False,gform
1,2023-12-28,,단축,False,gform
1,2023-12-29,,배영 약 20바퀴,False,gform
1,2023-12-30,55.6,,False,gform
1,2024-01-03,,"병가, 감기",True,gform
1,2024-01-06,,"병가, 감기",True,gform
1,2024-01-07,,"병가, 감기",True,gform
1,2024-01-08,54.6,,False,gform
1,2024-01-09,54.6,,False,gform
1,2024-01-10,55.2,,False,gform
1,2024-01-12,54.8,,False,gform
1,2024-01-15,54.9,,False,gform
1,2024-01-16,54.8,,False,gform
1,2024-01-17,54.8,오른팔 통증,False,gform
1,2024-01-23,54.9,수영 최고 기록,False,gform
1,2024-01-24,54.8,수영 최고 기록,False,gform
1,2024-01-25,55.0,,False,gform
1,2024-01-26,54.8,,False,gform
1,2024-02-01,55.0,,False,gform
1,2024-02-03,,무주리조트,True,gform
1,2024-02-07,54.2,,False,gform
1,2024-02-13,,회식,True,gform
1,2024-02-14,55.4,,False,gform
1,2024-02-19,55.3,,False,gform
1,2024-02-20,55.2,,False,gform
1,2024-02-21,54.9,,False,gform
1,2024-02-22,,심사위원 준비,True,gform
1,2024-02-23,,심사위원,True,gform
1,2024-02-26,55.0,,False,gform
1,2024-02-27,54.9,,False,gform
1,2024-03-07,54.8,,False,gform
1,2024-03-08,,역대 2번째 기록,False,gform
1,2024-03-10,,웅 목 아파서 빨리 나옴,False,gform
1,2024-03-13,54.9,,False,gform
1,2024-03-14,,오송 출장,True,gform
1,2024-03-15,,오송 출장,True,gform
1,2024-03-23,,서울 면접보러 갔다가 번아웃,True,gform
1,2024-03-24,,번아웃,True,gform
1,2024-03-26,55.9,,False,gform
1,2024-03-31,,다른 가족들과 같이 가서 빨리 나옴,False,gform
1,2024-04-02,55.2,,False,gform
1,2024-04-04,,번 아웃. 휴가,True,gform
1,2024-04-07,55.9,,False,gform
1,2024-04-11,55.6,,False,gform
1,2024-04-15,55.7,,False,gform
1,2024-04-16,55.3,,False,gform
1,2024-04-19,54.7,,False,gform
1,2024-04-27,,풀업 40kg 150개,False,gform
1,2024-04-30,55.2,,False,gform
1,2024-05-01,,다이노랜드,True,gform
1,2024-05-02,55.9,,False,gform
1,2024-05-03,55.8,,False,gform
1,2024-05-05,,갈비뼈 부상,False,gform
1,2024-05-06,,갈비뼈 부상,False,gform
1,2024-05-12,57.2,,False,gform
1,2024-05-13,56.3,,False,gform
1,2024-05-14,56.0,,False,gform
1,2024-05-16,56.1,,False,gform
1,2024-05-20,55.7,,False,gform
1,2024-05-21,,번 아웃,True,gform
1,2024-05-22,55.4,,False,gform
1,2024-05-24,,청소하느라 패스,True,gform
1,2024-05-25,,다이노랜드,True,gform
1,2024-05-26,56.4,,False,gform
1,2024-05-27,55.5,,False,gform
1,2024-05-30,,배고파서 중단,False,gform
1,2024-06-02,,속이 안 좋아서 중단,False,gform
1,2024-06-04,55.5,,False,gform
1,2024-06-08,,병가,True,gform
1,2024-06-10,,병가,True,gform
1,2024-06-11,55.2,,False,gform
1,2024-06-14,55.2,,False,gform
1,2024-06-15,,병가,True,gform
1,2024-06-19,,온산 출장,True,gform
1,2024-06-26,55.0,,False,gform
1,2024-07-05,,작심30일 서울모임,True,gform
1,2024-07-08,,배고파,False,gform
1,2024-07-10,,병가,True,gform
1,2024-07-11,54.7,,False,gform
1,2024-07-13,,대회 전 날,True,gform
1,2024-07-14,,롯데 아쿠아슬론 대회,False,gform
1,2024-07-18,,병가,True,gform
1,2024-07-30,,건강검진 후 병가,True,gform
1,2024-08-02,,필리핀 준비,True,gform
1,2024-08-03,,필리핀 입국,True,gform
1,2024-08-04,,패스,True,gform
1,2024-08-05,,마닐라 콘도 Gym,False,gform
1,2024-08-06,,,True,gform
1,2024-08-07,,,True,gform
1,2024-08-08,,세부 해변 조깅,False,gform
1,2024-08-09,,,True,gform
1,2024-08-10,,보라카이 해변 4번 왕복,False,gform
1,2024-08-11,,보라카이 해변 6번 왕복,False,gform
1,2024-08-12,,,True,gform
1,2024-08-13,,,True,gform
1,2024-08-14,,Avida 수영장,False,gform
1,2024-08-15,,"Avida 수영장, 위점프",False,gform
1,2024-08-16,,한국 입국,True,gform
1,2024-08-17,,Jet lag,True,gform
1,2024-08-23,54.2,,False,gform
1,2024-08-24,,배민,False,gform
1,2024-08-28,,모두연 대전 세미나,True,gform
1,2024-08-30,,감기,True,gform
1,2024-09-01,54.4,,False,gform
1,2024-09-06,,병가,True,gform
1,2024-09-08,,힐링,True,gform
1,2024-09-13,54.6,,False,gform
1,2024-09-15,,추석,True,gform
1,2024-09-16,,추석,True,gform
1,2024-09-17,,추석,True,gform
1,2024-09-18,,추석,True,gform
1,2024-09-20,,병가,True,gform
1,2024-09-24,,MSG,True,gform
1,2024-09-25,,데이터톤,True,gform
1,2024-09-27,,챔마 영재수업 도와주다가 늦었음,True,gform
1,2024-09-28,,아쿠아톤 전날,True,gform
1,2024-09-29,,익산 아쿠아톤 대회,False,gform
1,2024-10-01,,Pull-up 무게 변경 : 40kg > 35kg,False,gform
1,2024-10-02,55.3,,False,gform
1,2024-10-03,,김제 지평선 마라톤,False,gform
1,2024-10-05,,대전 모두연 특강,True,gform
1,2024-10-06,,대전 모두연 특강,True,gform
1,2024-10-10,,인화원 짐,False,gform
1,2024-10-11,,인화원,True,gform
1,2024-10-12,,출장 후 휴식,True,gform
1,2024-10-13,,출장 후 휴식,True,gform
1,2024-10-14,,두 손 모아 푸시업,False,gform
1,2024-10-15,,스미싱 수습,True,gform
1,2024-10-16,,스미싱 수습,True,gform
1,2024-10-17,,스미싱 수습,True,gform
1,2024-10-19,,독감주사,False,gform
1,2024-10-21,,오전 반반차,False,gform
1,2024-10-22,,인화원,False,gform
1,2024-10-23,,인화원,False,gform
1,2024-10-24,,출장 후 휴식,True,gform
1,2024-10-29,56.5,,False,gform
1,2024-11-01,56.6,,False,gform
1,2024-11-07,,Pull-up 30kg,False,gform
1,2024-11-08,,풀업 35kg,False,gform
1,2024-11-12,,황채린 응급실,True,gform
1,2024-11-17,,"복통, 뛰다가 중단, 거실에서 푸시업",False,gform
1,2024-11-18,,코칭스터디,True,gform
1,2024-11-27,,저녁 세미나 참석,True,gform
1,2024-11-29,,풀업 30kg,False,gform
1,2024-12-05,,MBB Day 발표 준비,True,gform
1,2024-12-19,,집에서 맨몸,False,gform
1,2024-12-21,,팔 무리해서 생략,False,gform
1,2024-12-22,,팔 무리해서 생략,False,gform
1,2024-12-27,,뛰다가 배고파,False,gform
1,2025-01-05,,턱걸이 25kg,False,gform
1,2025-01-12,,배고파서 중단,False,gform
1,2025-01-13,,체력이 떨어져서 못 뛰겠음,False,gform
1,2025-01-14,,,True,gform
1,2025-01-15,,,True,gform
1,2025-01-16,,집 청소 하다가 늦어졌음,True,gform
1,2025-01-17,,,True,gform
1,2025-01-18,,,True,gform
1,2025-01-19,,,True,gform
1,2025-01-20,,연세대 강의 준비,True,gform
1,2025-01-21,,재직자 LLM 강의,True,gform
1,2025-01-22,,재직자 LLM 강의,True,gform
1,2025-01-23,,연세대 출장,True,gform
1,2025-01-26,,감기몸살,True,gform
1,2025-01-27,,7일 쉬고 첫 운동,False,gform
1,2025-01-30,,울산 본가에서,False,gform
1,2025-02-01,,곤지암,False,gform
1,2025-02-03,,설연휴 후 첫 유산소,False,gform
1,2025-02-04,,LLM 강의,True,gform
1,2025-02-05,,집에서 맨몸으로,False,gform
1,2025-02-06,,홈트,False,gform
1,2025-02-08,,LLM 수업 끝나고 번아웃,True,gform
1,2025-02-09,,베란다 사이클,False,gform
1,2025-02-13,,아침 20분 남짓,False,gform
1,2025-02-15,,LLM 강의 + 캡틴 아메리카 영화,True,gform
1,2025-02-16,,자전거,False,gform
1,2025-02-17,,자전거,False,gform
1,2025-02-20,,사이클,False,gform
1,2025-02-27,,번 아웃,True,gform
1,2025-03-06,,속 안 좋아서 운동 못했음,True,gform
1,2025-03-11,,한이음 계획서 제출한다고 생략,True,gform
1,2025-03-23,,총 4회 나눴음 = 4.7km / 27분 + 3.7km / 27분 + 3.7km / 37분 + 3.5km / 25분,False,gform
1,2025-05-24,,LLM 강의가 있는 토요일 중 처음으로 운동했음,False,gform
1,2025-07-13,57.0,24년11월 이후 8개월만에 수영했음,False,gform
1,2025-07-27,,일요일 아침 저녁 운동 2회 했음,False,gform
1,2025-09-27,,LLM 토요일 실습 중 맨몸운동만 열심히,False,gform
1,2025-10-05,,상하이 호텔,False,gform
1,2025-10-07,,호텔 내 맨몸 운동,False,gform
1,2025-10-16,,상하이 청도 공항에서,False,gform
1,2025-11-11,,어제 독감주사 맞고 팔 아파서 팔 운동 생략,False,gform
1,2026-04-23,55.9,,False,gform
